Department,YearsWithCompany,JobSatisfaction,AnnualSalary,PromotionLast5Years,PerformanceRating,RemoteWork
Finance,18,5,70500.15,No,4,Part-time
Marketing,3,3,94213.91,Yes,3,None
HR,34,4,120835.67,No,3,Part-time
Marketing,16,2,114415.4,No,1,Part-time
Marketing,27,3,96235.07,No,4,None
HR,29,5,80597.98,No,4,None
Finance,28,1,46997.43,Yes,3,Full-time
HR,5,5,39092.5,Yes,5,None
Marketing,34,4,192952.05,No,2,Full-time
Finance,40,5,174014.33,No,3,Full-time
Marketing,36,1,90333.88,No,3,Full-time
HR,23,4,192656.15,No,2,Full-time
HR,28,5,145050.88,Yes,3,Part-time
Marketing,30,4,112028.56,No,4,None
IT,34,2,113814.36,No,4,None
IT,32,2,44158.35,Yes,3,Full-time
HR,20,5,45589.71,No,3,None
HR,31,4,132414.96,No,1,None
IT,22,1,124129.52,No,5,Part-time
IT,32,5,66163.74,No,2,None
Marketing,2,2,190853.07,No,4,None
Marketing,17,2,162820.33,No,5,Full-time
IT,24,5,49288.98,No,4,Part-time
Marketing,30,4,188257.95,No,5,None
Marketing,2,2,195622.2,No,3,None
Finance,39,4,199308.31,Yes,4,Full-time
Marketing,23,2,39498.1,Yes,4,None
HR,31,2,155296.04,Yes,4,None
Marketing,21,3,122805.68,Yes,2,None
Marketing,22,2,149991.35,Yes,2,None
IT,1,1,194670.83,No,2,None
HR,26,5,146965.1,No,4,Full-time
Marketing,1,5,172283.86,No,4,Full-time
Marketing,25,4,177367.68,No,4,None
Finance,16,2,172541.73,No,1,None
Marketing,39,1,102435.55,No,5,Part-time
Marketing,32,4,67837.99,No,3,None
Finance,8,3,97430.77,No,3,None
IT,38,4,181622.47,No,2,Part-time
Marketing,28,4,54922.82,No,4,None
Finance,25,2,117265.45,No,3,None
HR,34,3,69648.77,No,4,None
IT,24,4,128821.92,No,4,None
HR,23,1,176733.55,No,2,Part-time
HR,12,1,179661.19,No,4,None
Finance,6,5,70236.48,Yes,3,Part-time
Marketing,35,3,184307.93,No,3,Part-time
Finance,19,3,130621.09,Yes,3,None
Finance,0,5,89537.1,No,3,Full-time
Finance,7,4,150390.8,No,4,Full-time
Finance,15,3,111883.39,No,3,None
IT,13,1,94257.89,No,4,Part-time
Marketing,11,1,149864.34,No,4,Part-time
HR,22,2,72283.11,No,4,None
HR,14,3,86142.93,Yes,4,None
Marketing,27,4,103856.81,No,4,Full-time
HR,33,5,73125.97,No,3,None
Marketing,1,5,98884.35,No,3,Part-time
HR,31,4,127150.41,No,5,None
Finance,22,2,155965.56,No,4,None
HR,21,5,160423.13,No,3,None
Marketing,24,3,169874.36,No,3,None
Marketing,21,2,156515.98,No,3,None
Marketing,21,3,145776.7,No,5,None
Marketing,5,1,70376.1,No,1,Full-time
Marketing,14,2,98037.89,No,3,Full-time
IT,36,5,111211.53,No,3,None
IT,32,2,44091.52,No,3,Part-time
HR,7,2,119822.92,Yes,5,None
Marketing,4,2,104177.09,No,2,Full-time
HR,38,2,166358.57,No,4,None
Marketing,3,3,196243.11,No,2,Part-time
Marketing,5,1,124520.86,No,4,Part-time
IT,31,4,84856.69,No,2,None
IT,29,2,37378.13,No,1,None
Finance,34,5,187189.37,No,4,None
IT,39,2,186249.67,No,5,Part-time
Finance,15,5,73008.33,No,5,Part-time
Finance,12,3,148219.89,No,4,None
Finance,29,5,42823.87,No,5,Full-time
Finance,18,4,58256.62,Yes,1,None
Finance,16,1,66857.55,Yes,5,None
HR,18,5,80063.97,No,3,None
IT,27,5,199291.33,No,4,None
Finance,25,1,148477.26,No,4,None
Marketing,36,4,95314.31,No,4,None
IT,25,2,155307.12,No,4,Part-time
IT,22,5,185593.24,No,3,Full-time
Finance,8,1,192979.41,No,4,Part-time
HR,11,3,39836.86,No,3,Full-time
Finance,0,1,97068.71,No,5,None
HR,0,3,48148.53,No,4,None
Marketing,33,4,87062.21,Yes,3,Full-time
IT,31,2,58845.58,No,4,Full-time
Marketing,24,1,139964.22,No,4,Full-time
HR,39,5,96005.63,No,4,None
HR,0,4,68997.11,No,4,None
Marketing,15,1,75209.45,No,2,Full-time
HR,38,5,91258.67,No,4,None
Marketing,4,1,74191.48,No,5,None
